"zip3","FIPS","pop2010"
"995","02013",3141
"996","02013",3141
"995","02016",5561
"996","02016",5561
"995","02020",291826
"996","02020",291826
"995","02050",17013
"996","02050",17013
"996","02060",997
"997","02068",1826
"995","02070",4847
"996","02070",4847
"997","02090",97581
"998","02100",2508
"998","02105",2150
"998","02110",31275
"996","02122",55400
"995","02122",55400
"999","02130",13477
"996","02150",13592
"995","02150",13592
"995","02164",1631
"996","02164",1631
"996","02170",88995
"997","02180",9492
"996","02180",9492
"997","02185",9430
"997","02188",7523
"998","02195",3815
"999","02198",5559
"998","02220",8881
"998","02230",968
"997","02240",7029
"996","02261",9636
"995","02261",9636
"995","02270",7459
"996","02270",7459
"999","02275",2369
"996","02282",662
"997","02290",5588
"996","02290",5588
"995","02290",5588
"360","01001",54571
"367","01001",54571
"365","01003",182265
"360","01005",27457
"351","01007",22915
"350","01007",22915
"367","01007",22915
"350","01009",57322
"351","01009",57322
"360","01011",10914
"360","01013",20947
"364","01013",20947
"362","01015",118572
"368","01017",34215
"359","01019",25989
"362","01019",25989
"351","01021",43643
"350","01021",43643
"367","01021",43643
"360","01021",43643
"369","01023",13859
"364","01025",25833
"365","01025",25833
"367","01025",25833
"362","01027",13932
"350","01027",13932
"362","01029",14972
"360","01031",49948
"363","01031",49948
"364","01031",49948
"356","01033",54428
"364","01035",13228
"350","01037",11539
"360","01037",11539
"351","01037",11539
"364","01039",37765
"360","01039",37765
"360","01041",13906
"350","01043",80406
"351","01043",80406
"363","01045",50251
"367","01047",43820
"359","01049",71109
"360","01051",79303
"365","01053",38319
"364","01053",38319
"359","01055",104430
"355","01057",17241
"355","01059",31704
"356","01059",31704
"363","01061",26790
"364","01061",26790
"354","01063",9045
"367","01063",9045
"354","01065",15760
"367","01065",15760
"363","01067",17302
"363","01069",101547
"357","01071",53227
"359","01071",53227
"352","01073",658466
"350","01073",658466
"351","01073",658466
"355","01075",14564
"356","01077",92709
"356","01079",34339
"368","01081",140247
"357","01083",82782
"356","01083",82782
"367","01085",11299
"360","01085",11299
"368","01087",21452
"360","01087",21452
"357","01089",334811
"358","01089",334811
"367","01091",21027
"355","01093",30776
"359","01095",93019
"357","01095",93019
"351","01095",93019
"350","01095",93019
"366","01097",412992
"365","01097",412992
"364","01099",23068
"361","01101",229363
"360","01101",229363
"357","01103",119490
"356","01103",119490
"367","01105",10591
"354","01107",19746
"360","01109",32899
"362","01111",22913
"368","01113",52947
"352","01117",195085
"351","01117",195085
"350","01117",195085
"351","01115",83593
"359","01115",83593
"350","01115",83593
"354","01119",13763
"369","01119",13763
"351","01121",82291
"350","01121",82291
"362","01121",82291
"362","01123",41616
"368","01123",41616
"350","01123",41616
"360","01123",41616
"354","01125",194656
"351","01125",194656
"350","01127",67023
"355","01127",67023
"351","01127",67023
"365","01129",17581
"367","01131",11670
"364","01131",11670
"355","01133",24484
"720","05001",19019
"721","05001",19019
"716","05003",21853
"725","05005",41513
"726","05005",41513
"727","05007",221339
"726","05009",36903
"716","05011",11508
"717","05013",5368
"726","05015",27446
"716","05017",11800
"719","05019",22995
"717","05019",22995
"724","05021",16083
"721","05023",25970
"725","05023",25970
"720","05023",25970
"716","05025",8689
"717","05027",24552
"718","05027",24552
"721","05029",21273
"720","05029",21273
"724","05031",96443
"729","05033",61948
"723","05035",50902
"723","05037",17870
"717","05039",8116
"716","05041",13008
"723","05041",13008
"716","05043",18509
"720","05045",113237
"721","05045",113237
"728","05047",18125
"729","05047",18125
"725","05049",12245
"719","05051",96024
"720","05051",96024
"720","05053",17853
"721","05053",17853
"724","05055",42090
"718","05057",22609
"721","05059",32923
"719","05059",32923
"718","05061",13789
"719","05061",13789
"725","05063",36647
"721","05063",36647
"725","05065",13696
"724","05067",17997
"721","05067",17997
"720","05067",17997
"716","05069",77435
"721","05069",77435
"720","05069",77435
"728","05071",25540
"718","05073",7645
"725","05075",17415
"724","05075",17415
"723","05077",10424
"716","05079",14134
"718","05081",13171
"728","05083",22353
"729","05083",22353
"720","05085",68356
"721","05085",68356
"727","05087",15717
"726","05089",16653
"718","05091",43462
"723","05093",46480
"724","05093",46480
"721","05095",8149
"720","05095",8149
"719","05097",9487
"718","05099",8997
"717","05099",8997
"726","05101",8330
"717","05103",26120
"720","05105",10445
"721","05105",10445
"723","05107",21757
"719","05109",11291
"724","05111",24583
"723","05111",24583
"719","05113",20662
"726","05115",61754
"728","05115",61754
"720","05117",8715
"721","05117",8715
"720","05119",382748
"721","05119",382748
"722","05119",382748
"724","05121",17969
"720","05125",107118
"719","05125",107118
"721","05125",107118
"728","05127",11233
"729","05127",11233
"726","05129",8195
"729","05131",125744
"718","05133",17058
"725","05135",17264
"724","05135",17264
"723","05123",28258
"720","05137",12394
"725","05137",12394
"726","05137",12394
"717","05139",41639
"721","05141",17295
"720","05141",17295
"726","05141",17295
"727","05143",203065
"729","05143",203065
"720","05145",77076
"721","05145",77076
"720","05147",7260
"721","05147",7260
"728","05149",22185
"859","04001",71518
"865","04001",71518
"856","04003",131346
"865","04003",131346
"860","04005",134421
"864","04005",134421
"859","04005",134421
"851","04007",53597
"855","04007",53597
"852","04007",53597
"855","04009",37220
"855","04011",8437
"859","04011",8437
"853","04012",20489
"850","04013",3817117
"851","04013",3817117
"853","04013",3817117
"852","04013",3817117
"864","04015",200186
"860","04015",200186
"853","04015",200186
"860","04017",107449
"859","04017",107449
"865","04017",107449
"857","04019",980263
"856","04019",980263
"853","04019",980263
"852","04021",375770
"851","04021",375770
"856","04021",375770
"856","04023",47420
"853","04025",211033
"863","04025",211033
"853","04027",195751
"945","06001",1510271
"946","06001",1510271
"947","06001",1510271
"961","06003",1175
"956","06005",38091
"959","06007",220000
"952","06009",45578
"959","06011",21419
"945","06013",1049025
"948","06013",1049025
"955","06015",28610
"956","06017",181058
"957","06017",181058
"961","06017",181058
"937","06019",930450
"936","06019",930450
"932","06019",930450
"938","06019",930450
"959","06021",28122
"955","06023",134623
"922","06025",174528
"935","06027",18546
"923","06027",18546
"932","06029",839631
"935","06029",839631
"933","06029",839631
"932","06031",152982
"954","06033",64665
"960","06035",34895
"961","06035",34895
"900","06037",9818605
"901","06037",9818605
"902","06037",9818605
"903","06037",9818605
"904","06037",9818605
"905","06037",9818605
"906","06037",9818605
"911","06037",9818605
"912","06037",9818605
"907","06037",9818605
"913","06037",9818605
"935","06037",9818605
"917","06037",9818605
"908","06037",9818605
"910","06037",9818605
"914","06037",9818605
"915","06037",9818605
"916","06037",9818605
"918","06037",9818605
"932","06037",9818605
"936","06039",150865
"949","06041",252409
"953","06043",18251
"936","06043",18251
"954","06045",87841
"955","06045",87841
"953","06047",255793
"936","06047",255793
"961","06049",9686
"960","06049",9686
"935","06051",14202
"961","06051",14202
"939","06053",415057
"934","06053",415057
"950","06053",415057
"945","06055",136484
"959","06057",98764
"957","06057",98764
"961","06057",98764
"926","06059",3010232
"907","06059",3010232
"906","06059",3010232
"927","06059",3010232
"928","06059",3010232
"957","06061",348432
"956","06061",348432
"961","06061",348432
"959","06063",20007
"961","06063",20007
"960","06063",20007
"925","06065",2189641
"922","06065",2189641
"923","06065",2189641
"928","06065",2189641
"917","06065",2189641
"942","06067",1418788
"958","06067",1418788
"957","06067",1418788
"956","06067",1418788
"950","06069",55269
"917","06071",2035210
"922","06071",2035210
"923","06071",2035210
"935","06071",2035210
"924","06071",2035210
"919","06073",3095313
"921","06073",3095313
"920","06073",3095313
